Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress ScoreÂ®,Grit,Flow,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,1/15/2022 7:45,FALSE,Austin Running,20.05,"2,297",4:07:52,156,174,162,181,12:22,10:39,416,418,0.8,0,0,0,0,0,0:00,0,0:00,No,00:32.1,21,0,4:07:48,4:08:57,427,472
Running,1/13/2022 16:31,FALSE,Austin - 6 Miles @ 10 min,8.01,995,1:24:13,169,184,162,179,10:31,8:59,34,42,0.94,0,0,0,0,0,0:00,0,0:00,No,00:04.1,9,0,1:24:07,1:24:16,427,452
Running,1/12/2022 16:53,FALSE,Austin Running,6.23,741,1:13:10,150,168,159,174,11:45,10:25,83,103,0.86,0,0,0,0,0,0:00,0,0:00,No,02:33.7,7,0,1:13:08,1:14:16,427,471
Running,1/11/2022 16:48,FALSE,Austin Running,6.22,728,1:14:22,147,168,159,171,11:58,10:18,91,112,0.85,0,0,0,0,0,0:00,0,0:00,No,02:25.8,7,0,1:14:14,1:15:36,427,471
Running,1/10/2022 16:42,FALSE,Austin - 7 Mile 200 x 16,7.58,871,1:25:20,155,188,156,236,11:15,6:02,76,97,0.91,0,0,0,0,0,0:00,0,0:00,No,00:50.8,36,0,1:24:53,1:26:17,427,469
Running,1/8/2022 7:54,FALSE,Austin Running,18.25,"2,059",3:45:21,151,171,161,236,12:21,10:01,291,293,0.81,0,0,0,0,0,0:00,0,0:00,No,02:59.4,19,0,3:44:46,3:53:09,427,471
Running,1/6/2022 16:51,FALSE,Austin - 6 Mile Threshold 2k @ 10,6.21,760,1:08:56,163,186,161,181,11:06,9:02,98,120,0.9,0,0,0,0,0,0:00,0,0:00,No,01:15.0,11,0,1:08:43,1:10:34,427,471
Running,1/5/2022 16:47,FALSE,Austin Running,6.24,723,1:16:27,147,162,158,174,12:16,11:06,68,88,0.83,0,0,0,0,0,0:00,0,0:00,No,02:48.2,7,0,1:16:26,1:17:38,427,470
Running,1/4/2022 16:30,FALSE,Austin - 7.5 Mile - 1600 x 800,7.6,913,1:21:15,162,184,158,181,10:42,7:47,103,124,0.95,0,0,0,0,0,0:00,0,0:00,No,01:29.9,16,0,1:21:06,1:21:15,427,469
Running,1/3/2022 11:04,FALSE,Austin Running,6.19,736,1:11:17,149,169,164,177,11:30,10:20,88,88,0.85,0,0,0,0,0,0:00,0,0:00,No,02:10.7,7,0,1:11:08,1:13:16,428,470
Running,1/2/2022 10:26,FALSE,Austin Running,4.21,500,0:49:09,150,183,162,191,11:41,7:12,61,61,0.85,0,0,0,0,0,0:00,0,0:00,No,01:25.2,7,0,0:49:02,0:49:09,429,459
Running,12/31/2021 7:40,FALSE,Austin Running,16.03,"1,796",3:21:26,147,168,158,247,12:34,11:03,370,374,0.81,0,0,0,0,0,0:00,0,0:00,No,00:22.0,17,0,3:20:49,3:25:21,427,633
Running,12/30/2021 9:31,FALSE,Austin Running,6.21,718,1:15:29,148,164,159,175,12:09,10:53,90,110,0.83,0,0,0,0,0,0:00,0,0:00,No,02:24.4,7,0,1:15:28,1:16:33,427,471
Running,12/28/2021 9:03,FALSE,Austin Running,6.22,719,1:16:46,148,167,160,175,12:20,10:05,98,119,0.81,0,0,0,0,0,0:00,0,0:00,No,02:31.7,7,0,1:16:44,1:17:59,427,470
Running,12/27/2021 9:52,FALSE,Austin - 9 Mile Speed,8.5,"1,008",1:39:30,158,188,153,190,11:42,6:22,51,51,0.89,0,0,0,0,0,0:00,0,0:00,No,00:12.9,31,0,1:39:05,1:43:34,427,452
Running,12/24/2021 7:09,FALSE,Austin Running,15.01,"1,686",3:07:12,150,168,161,172,12:29,10:18,247,245,0.8,0,0,0,0,0,0:00,0,0:00,No,00:03.0,16,0,3:07:04,3:07:31,427,472
Running,12/23/2021 16:25,FALSE,Austin Running,5.06,598,1:01:19,150,163,158,169,12:07,9:53,33,33,0.84,0,0,0,0,0,0:00,0,0:00,No,00:42.1,6,0,1:01:18,1:01:19,427,453
Running,12/22/2021 16:30,FALSE,Austin - 6 Mile Threshold,6.22,750,1:08:35,161,182,157,243,11:02,8:33,115,115,0.92,0,0,0,0,0,0:00,0,0:00,No,00:33.5,11,0,1:08:32,1:09:47,427,470
Running,12/21/2021 16:32,FALSE,Austin Running,6.3,735,1:15:25,148,168,159,172,11:58,10:48,84,104,0.84,0,0,0,0,0,0:00,0,0:00,No,03:24.7,7,0,1:15:13,1:17:14,427,470
Running,12/20/2021 12:26,FALSE,Austin - 6-7 Mile Fartlek: 4x5 min,7.45,855,1:20:35,157,183,160,182,10:49,7:58,65,86,0.93,0,0,0,0,0,0:00,0,0:00,No,03:00.0,16,0,1:20:33,1:21:15,427,469
Running,12/18/2021 8:38,FALSE,Austin Running,13.16,"1,517",2:48:08,152,171,156,173,12:46,10:53,241,244,0.81,0,0,0,0,0,0:00,0,0:00,No,01:51.9,14,0,2:47:51,2:48:55,427,472
Running,12/16/2021 11:52,FALSE,Austin - 5 Mile Threshold,5.13,621,1:00:05,156,179,155,245,11:42,9:01,25,23,0.89,0,0,0,0,0,0:00,0,0:00,No,00:15.3,9,0,0:59:53,1:00:05,427,456
Running,12/15/2021 16:34,FALSE,Austin Running,6.24,734,1:18:05,151,167,159,171,12:31,11:06,127,127,0.81,0,0,0,0,0,0:00,0,0:00,No,02:51.8,7,0,1:18:03,1:19:15,427,471
Running,12/14/2021 12:04,FALSE,Austin - 12x200 M - 7 miles,7.4,885,1:30:11,155,187,152,244,12:11,6:19,96,116,0.86,0,0,0,0,0,0:00,0,0:00,No,00:49.9,29,0,1:29:58,1:32:23,427,468
Running,12/13/2021 12:54,FALSE,Austin Running,6.22,705,1:17:11,144,161,159,168,12:25,11:09,123,145,0.82,0,0,0,0,0,0:00,0,0:00,No,02:30.0,7,0,1:17:05,1:18:23,427,471
Running,12/11/2021 8:10,FALSE,Austin Running,14.01,"1,615",2:52:53,154,179,163,198,12:21,10:51,418,418,0.8,0,0,0,0,0,0:00,0,0:00,No,00:04.8,15,0,2:52:11,2:59:45,427,583
Running,12/9/2021 16:41,FALSE,Austin Running,6.23,741,1:21:17,156,176,157,169,13:02,11:03,103,103,0.78,0,0,0,0,0,0:00,0,0:00,No,03:01.7,7,0,1:21:15,1:22:27,427,470
Running,12/8/2021 16:38,FALSE,Austin Running,6.22,718,1:19:09,150,171,160,171,12:44,11:33,94,94,0.79,0,0,0,0,0,0:00,0,0:00,No,02:43.7,7,0,1:19:00,1:20:48,427,470
Running,12/7/2021 15:34,FALSE,Austin - 4 x 1600 Workout,8.71,"1,027",1:39:48,161,187,156,244,11:27,8:23,23,44,0.89,0,0,0,0,0,0:00,0,0:00,No,01:30.0,13,0,1:39:46,1:39:52,427,462
Running,12/6/2021 16:51,FALSE,Austin Running,6.18,716,1:17:15,149,178,160,250,12:30,10:46,106,109,0.81,0,0,0,0,0,0:00,0,0:00,No,02:09.5,7,0,1:17:12,1:18:14,427,470
Running,12/4/2021 7:40,FALSE,Austin Running,12.01,"1,423",2:34:54,159,176,160,179,12:54,10:58,262,261,0.78,0,0,0,0,0,0:00,0,0:00,No,00:02.8,13,0,2:34:43,2:39:04,427,472
Running,12/2/2021 17:05,FALSE,Austin Running,5.06,609,1:06:41,154,169,158,172,13:11,11:44,31,30,0.77,0,0,0,0,0,0:00,0,0:00,No,00:41.2,6,0,1:06:40,1:06:41,427,453
Running,12/1/2021 16:48,FALSE,Austin Running,5.05,616,1:04:22,155,170,159,174,12:44,11:25,34,33,0.8,0,0,0,0,0,0:00,0,0:00,No,00:40.5,6,0,1:04:20,1:04:22,427,453
Running,11/30/2021 16:39,FALSE,Austin - 12x200 M - 6 miles,6.04,733,1:11:13,160,189,153,184,11:47,6:47,31,25,0.88,0,0,0,0,0,0:00,0,0:00,No,00:40.0,29,0,1:11:05,1:11:13,427,460
Running,11/29/2021 16:57,FALSE,Austin Running,5.09,609,1:01:51,153,167,159,172,12:10,10:39,17,22,0.83,0,0,0,0,0,0:00,0,0:00,No,01:00.0,6,0,1:01:46,1:01:51,427,453
Running,11/28/2021 9:01,FALSE,Austin Running,10.21,"1,221",2:03:54,158,175,160,175,12:08,10:23,120,140,0.83,0,0,0,0,0,0:00,0,0:00,No,02:30.6,11,0,2:03:45,2:03:59,427,468
Running,11/25/2021 7:43,FALSE,Austin Running,6.23,764,1:15:48,159,184,161,175,12:10,10:56,119,119,0.82,0,0,0,0,0,0:00,0,0:00,No,02:35.9,7,0,1:15:39,1:17:09,427,470
Running,11/24/2021 16:49,FALSE,Austin Running,4.05,501,0:50:21,155,175,157,170,12:25,10:58,15,36,0.82,0,0,0,0,0,0:00,0,0:00,No,00:40.3,5,0,0:50:18,0:50:21,427,452
Running,11/23/2021 16:51,FALSE,Austin Running,4.04,488,0:49:24,156,168,159,177,12:13,10:23,26,34,0.83,0,0,0,0,0,0:00,0,0:00,No,00:32.6,5,0,0:49:16,0:49:35,427,453
Running,11/22/2021 17:03,FALSE,Austin Running,4.08,480,0:48:19,156,168,160,175,11:51,10:36,30,30,0.85,0,0,0,0,0,0:00,0,0:00,No,00:56.9,5,0,0:48:17,0:48:19,427,453
Running,11/20/2021 7:32,FALSE,Austin Running,6.04,763,1:09:07,169,185,163,179,11:27,10:01,50,73,0.86,0,0,0,0,0,0:00,0,0:00,No,00:23.1,7,0,1:09:06,1:09:07,427,459
Running,11/18/2021 17:01,FALSE,Austin Running,3.21,392,0:34:27,161,179,166,181,10:44,9:47,7,30,0.9,0,0,0,0,0,0:00,0,0:00,No,02:09.2,4,0,0:34:25,0:34:27,427,453
Running,11/17/2021 9:42,FALSE,Austin Running,2.06,261,0:21:45,172,185,166,179,10:35,10:01,26,25,0.92,0,0,0,0,0,0:00,0,0:00,No,00:34.4,3,0,0:21:43,0:21:51,430,453
Running,11/16/2021 9:37,FALSE,Austin Running,3.03,383,0:32:27,170,184,167,179,10:43,10:05,16,21,0.9,0,0,0,0,0,0:00,0,0:00,No,00:17.7,4,0,0:32:25,0:32:27,427,452
Running,11/15/2021 9:15,FALSE,Austin Running,2.02,253,0:21:20,163,178,167,179,10:33,9:51,3,26,0.91,0,0,0,0,0,0:00,0,0:00,No,00:12.1,3,0,0:21:16,0:21:24,430,453
Running,11/7/2021 11:23,FALSE,New York Running,26.47,"3,315",4:57:20,171,188,163,178,11:14,9:33,601,621,0.88,0,0,0,0,0,0:00,0,0:00,No,04:39.8,27,0,4:56:46,4:57:20,--,117
Running,10/30/2021 7:51,FALSE,Austin Running,10.09,"1,309",1:49:56,170,190,165,180,10:53,9:47,112,133,0.9,0,0,0,0,0,0:00,0,0:00,No,00:58.0,11,0,1:49:49,1:49:56,427,466
Running,10/23/2021 7:30,FALSE,Austin Running,12,"1,506",2:20:24,161,182,162,182,11:42,10:16,252,251,0.85,0,0,0,0,0,0:00,0,0:00,No,00:02.5,13,0,2:20:17,2:21:33,427,471
Running,10/21/2021 12:26,FALSE,Austin Running,6.01,761,1:08:37,163,176,163,178,11:26,10:03,92,113,0.87,0,0,0,0,0,0:00,0,0:00,No,00:02.6,7,0,1:08:34,1:09:43,427,470
Running,10/19/2021 18:01,FALSE,Austin Running,6.19,749,1:07:47,154,177,162,176,10:57,9:18,119,142,0.91,0,0,0,0,0,0:00,0,0:00,No,02:03.8,7,0,1:07:41,1:11:02,428,471
Running,10/18/2021 17:44,FALSE,Austin Running,7.5,905,1:26:18,153,174,158,169,11:30,10:20,113,135,0.89,0,0,0,0,0,0:00,0,0:00,No,05:37.4,8,0,1:26:09,1:28:01,427,469
Running,10/16/2021 7:32,FALSE,Austin Running,18,"2,244",3:12:37,165,183,163,198,10:42,9:15,286,306,0.92,0,0,0,0,0,0:00,0,0:00,No,00:02.9,19,0,3:12:12,3:18:32,427,471
Running,10/14/2021 18:04,FALSE,Austin Running,6.01,752,1:08:29,160,186,160,174,11:24,10:14,82,104,0.88,0,0,0,0,0,0:00,0,0:00,No,00:03.8,7,0,1:08:22,1:09:44,427,470
Running,10/13/2021 18:12,FALSE,Austin - 5 Miles - Speed,5,648,0:59:00,165,186,150,236,11:48,6:51,28,27,0.9,0,0,0,0,0,0:00,0,0:00,No,00:09.8,19,0,0:58:51,0:59:02,427,456
Running,10/11/2021 17:58,FALSE,Austin Running,7.51,918,1:24:29,155,173,160,179,11:15,9:49,101,120,0.89,0,0,0,0,0,0:00,0,0:00,No,05:13.8,8,0,1:24:24,1:24:29,427,469
Running,10/9/2021 7:14,FALSE,Austin - 20 Mile Long Run,20.01,"2,457",3:51:33,163,179,161,183,11:34,10:23,354,373,0.86,0,0,0,0,0,0:00,0,0:00,No,00:09.1,21,0,3:51:17,4:01:29,427,471
Running,10/7/2021 18:02,FALSE,Austin Running,7.51,950,1:27:14,160,183,159,167,11:37,10:34,107,129,0.87,0,0,0,0,0,0:00,0,0:00,No,05:46.2,8,0,1:27:13,1:27:14,427,468
Running,10/5/2021 18:13,FALSE,Austin - 5 Miles - Speed,5,608,0:55:11,155,178,156,243,11:02,7:23,35,34,0.93,0,0,0,0,0,0:00,0,0:00,No,00:10.8,19,0,0:54:49,0:55:11,427,455
Running,10/4/2021 18:02,FALSE,Austin Running,7.5,932,1:22:34,159,181,160,171,11:00,9:57,122,144,0.91,0,0,0,0,0,0:00,0,0:00,No,05:21.3,8,0,1:22:26,1:26:06,427,469
Running,10/2/2021 7:23,FALSE,Austin Running,16,"2,004",2:59:31,164,179,162,188,11:13,10:07,268,289,0.89,0,0,0,0,0,0:00,0,0:00,No,00:02.6,17,0,2:59:20,3:06:25,427,471
Running,9/30/2021 18:27,FALSE,Austin Running,5.01,641,0:54:55,166,181,160,171,10:58,9:18,119,118,0.92,0,0,0,0,0,0:00,0,0:00,No,00:03.3,6,0,0:54:47,0:55:59,427,470
Running,9/29/2021 18:03,FALSE,Austin - 7.5 Mile -Speed,7.51,943,1:28:04,163,183,154,178,11:43,8:27,116,137,0.89,0,0,0,0,0,0:00,0,0:00,No,00:04.5,17,0,1:27:44,1:28:18,427,468
Running,9/27/2021 18:31,FALSE,Austin Running,6,746,1:04:24,159,177,160,173,10:43,8:56,82,105,0.94,0,0,0,0,0,0:00,0,0:00,No,00:02.6,7,0,1:04:22,1:05:29,427,471
Running,9/25/2021 7:07,FALSE,Austin - 20 Mile Long Run,20.03,"2,401",4:00:10,160,183,161,181,12:00,10:25,415,433,0.84,0,0,0,0,0,0:00,0,0:00,No,00:16.1,21,0,3:59:49,4:10:51,427,471
Running,9/23/2021 18:28,FALSE,Austin Running,6.01,746,1:08:35,158,179,159,169,11:25,9:04,107,126,0.89,0,0,0,0,0,0:00,0,0:00,No,00:02.5,7,0,1:08:27,1:08:37,427,470
Running,9/22/2021 18:00,FALSE,Austin Running,7.5,967,1:25:58,167,182,160,173,11:27,10:07,119,109,0.88,0,0,0,0,0,0:00,0,0:00,No,05:43.3,8,0,1:25:56,1:25:58,427,469
Running,9/20/2021 18:42,FALSE,Austin Running,5,651,0:57:46,168,180,158,171,11:33,10:18,5,27,0.88,0,0,0,0,0,0:00,0,0:00,No,00:02.0,6,0,0:57:45,0:57:46,427,452
Running,9/18/2021 7:08,FALSE,Austin - 15 Mile Run,15.01,"1,831",2:58:43,160,175,159,239,11:55,10:27,221,239,0.85,0,0,0,0,0,0:00,0,0:00,No,00:02.8,16,0,2:58:23,3:05:23,427,472
Running,9/16/2021 18:14,FALSE,Austin - 7.5 Mile -Speed,7.5,914,1:29:35,156,181,152,236,11:57,7:41,116,115,0.88,0,0,0,0,0,0:00,0,0:00,No,00:16.0,17,0,1:29:30,1:30:55,427,469
Running,9/15/2021 18:47,FALSE,Austin Running,5,638,0:57:15,161,187,158,171,11:27,9:53,84,85,0.89,0,0,0,0,0,0:00,0,0:00,No,00:02.3,6,0,0:56:58,1:00:38,427,470
Running,9/14/2021 17:47,FALSE,Austin Running,6,682,1:30:06,138,161,131,169,15:01,10:41,98,121,0.82,0,0,0,0,0,0:00,0,0:00,No,00:03.6,7,0,1:29:58,1:30:06,427,470
Running,9/11/2021 7:03,FALSE,Austin - 18 Mile Long Run,18.01,"2,178",3:33:13,161,177,160,187,11:50,9:53,269,289,0.85,0,0,0,0,0,0:00,64,0:00,No,00:02.9,19,0,3:32:51,3:40:05,427,471
Running,9/9/2021 18:20,FALSE,Austin Running,7.5,936,1:28:14,162,180,159,169,11:46,10:32,95,117,0.86,0,0,0,0,0,0:00,0,0:00,No,05:45.6,8,0,1:28:06,1:28:20,427,469
Running,9/8/2021 18:53,FALSE,Austin - 5 Miles - Speed,5.04,611,0:56:11,164,185,159,176,11:09,7:13,10,32,0.9,0,0,0,0,0,0:00,0,0:00,No,00:01.8,19,0,0:56:00,0:56:11,427,452
Running,9/6/2021 16:02,FALSE,Austin Running,7.02,845,1:17:10,160,176,161,178,10:59,9:11,69,92,0.91,0,0,0,0,0,0:00,0,0:00,No,00:12.1,8,0,0:00:00,1:17:13,427,459
Running,9/4/2021 7:10,FALSE,Austin - 16 Mile Long Run,16.01,"1,884",3:12:31,159,174,160,241,12:02,10:12,197,218,0.84,0,0,0,0,0,0:00,76,0:00,No,00:04.8,17,0,0:00:00,3:23:38,427,471
Running,9/2/2021 18:02,FALSE,Austin - 9 Miles Easy,9.01,"1,105",1:43:52,168,181,159,248,11:32,8:59,76,78,0.88,0,0,0,0,0,0:00,0,0:00,No,00:04.1,10,0,1:43:38,1:47:59,427,462
Running,9/1/2021 18:45,FALSE,Austin - 5 Mile -Speed,5,629,0:56:51,171,187,151,242,11:23,7:23,14,19,0.94,0,0,0,0,0,0:00,0,0:00,No,00:11.1,19,0,0:56:41,0:57:36,427,453
Running,8/30/2021 7:38,FALSE,Austin - 6 Miles,6,716,1:07:37,153,169,161,173,11:16,10:05,93,116,0.89,0,0,0,0,0,0:00,0,0:00,No,00:01.7,7,0,1:07:23,1:08:55,427,470
Running,8/28/2021 7:08,FALSE,Austin Running,15,"1,943",2:55:21,166,179,159,174,11:41,10:07,241,262,0.87,0,0,0,0,0,0:00,0,0:00,No,00:02.0,19,0,0:00:00,3:00:18,427,469
